RMSE,Num_Points,Density,LBP,Class
0.10179019610276213,5,0.04,12,50
0.12160083866568752,8,0.064,36,50
0.030300694883402986,4,0.032,56,50
0.011634381195615513,4,0.032,38,50
4.1948194399547367e-07,3,0.024,6,50
6.670068349497647e-08,3,0.024,5,50
6.137271520619456e-07,3,0.024,36,50
7.741458389887157e-07,3,0.024,26,50
9.59361065197443e-05,5,0.04,12,50
1.6442379694818024e-07,3,0.024,59,50
0.06243121186696513,7,0.056,6,50
1.4032021411480858e-07,3,0.024,13,50
0.09935747876220717,12,0.096,48,50
0.11198454161002962,8,0.064,31,50
0.00019228080439551558,7,0.056,22,50
0.07828648075160916,7,0.056,17,50
0.13456546133038613,17,0.136,51,50
0.00019212833239811336,7,0.056,46,50
0.06386871769081684,5,0.04,17,50
0.08593166365508492,5,0.04,1,50
0.007299529932330239,5,0.04,19,50
0.07659671936443337,7,0.056,31,50
0.04625725010461402,7,0.056,42,50
0.00025877693283375155,8,0.064,26,50
0.036938944279726535,8,0.064,20,50
0.07754286753725427,8,0.064,33,50
0.012422909009211227,5,0.04,23,50
0.11425076815308592,10,0.08,59,50
0.21800230423584155,15,0.12,57,50
0.00019188212810960248,6,0.048,20,50
0.00013770322564699738,7,0.056,22,50
1.58662432821662e-07,3,0.024,1,50
0.07182781527441966,6,0.048,2,50
0.05658760918568319,10,0.08,2,50
0.18690252133910537,20,0.16,57,50
0.00016749937893794476,7,0.056,63,50
4.9748814641290066e-05,4,0.032,41,50
4.737443167722759e-05,4,0.032,61,50
1.0036141636267833e-07,3,0.024,10,50
0.08660335748574796,9,0.072,22,50
0.02516568014426992,4,0.032,53,50
0.04814189989562358,12,0.096,42,50
0.04954128702737662,17,0.136,0,50
0.05113374252412524,11,0.088,51,50
0.0280741487258289,8,0.064,43,50
0.11070341411781007,11,0.088,15,50
3.1725851560674795e-07,3,0.024,1,50
0.10602582157153738,18,0.144,31,50
0.08772174227490498,17,0.136,58,50
0.06727830322265733,10,0.08,15,50
0.0786676135449385,21,0.168,25,50
0.00029497219583748675,7,0.056,22,50
0.04611338060384936,9,0.072,24,50
0.09389534056389642,20,0.16,59,50
0.014397120123130129,10,0.08,10,50
3.3793510804495475e-07,3,0.024,52,50
0.06273203868298928,7,0.056,21,50
0.10617656523759285,28,0.224,39,50
0.1294951064296052,30,0.24,41,50
0.0970657949007209,28,0.224,32,50
0.11560774583191756,22,0.176,19,50
7.507181480409139e-05,5,0.04,7,50
0.00019019988360964444,8,0.064,48,50
0.047238773054826586,5,0.04,49,50
0.0001100465709581488,5,0.04,33,50
0.060822691602976854,13,0.104,17,50
0.05479924595895286,9,0.072,62,50
0.050493888579545364,7,0.056,46,50
0.050421265613480315,5,0.04,9,50
0.05530373712998419,23,0.184,14,50
0.11642022168608968,39,0.312,34,50
0.16346072357846167,69,0.552,7,50
9.943201138632303e-05,4,0.032,17,50
2.0613371135018426e-05,4,0.032,31,50
0.07659619779310291,13,0.104,33,50
0.10793755034479782,13,0.104,33,50
0.02417501351425385,8,0.064,5,50
0.06891011312892366,5,0.04,42,50
0.06788696720423172,29,0.232,16,50
0.0441394869679229,6,0.048,38,50
0.04116848935125968,5,0.04,21,50
0.08790282363203857,7,0.056,25,50
0.044716871719617975,13,0.104,43,50
0.08119758681918467,36,0.288,56,50
0.10876568963281885,68,0.544,63,50
0.07782823357565613,36,0.288,29,50
0.12675051278520238,55,0.44,31,50
0.00031973368786670874,7,0.056,21,50
2.994836026578203e-07,3,0.024,11,50
0.056259895521485324,5,0.04,56,50
0.0776318712231596,16,0.128,51,50
0.0831471409103472,15,0.12,57,50
0.018271413023199554,7,0.056,31,50
0.04104628505436386,8,0.064,52,50
0.06501216817035908,18,0.144,5,50
0.04557262230991448,10,0.08,39,50
0.019802494782912815,5,0.04,25,50
0.08802281973263484,21,0.168,31,50
0.045289376839742025,5,0.04,39,50
0.08444083166611409,52,0.416,48,50
0.07063900531599863,30,0.24,52,50
0.09006654986029575,55,0.44,51,50
0.11167813839985637,35,0.28,54,50
0.09625487469516193,36,0.288,1,50
0.0002921217928625759,8,0.064,49,50
0.02309382427065766,4,0.032,49,50
3.091568999321244e-07,3,0.024,6,50
0.11724367676674945,24,0.192,58,50
0.14759952621822295,19,0.152,31,50
0.057045991509097754,14,0.112,63,50
0.07018707648635834,10,0.08,59,50
0.06415307114760845,17,0.136,15,50
0.056847723615351,31,0.248,24,50
0.11362049411565266,33,0.264,27,50
0.11212868523369125,70,0.56,0,50
0.061721168618968106,5,0.04,44,50
0.04483802199203063,12,0.096,61,50
0.09219247481035471,58,0.464,63,50
1.4808804289501156e-06,3,0.024,3,50
0.08434642156168445,39,0.312,54,50
0.08426322601491197,63,0.504,57,50
0.10965009420641383,103,0.824,28,50
0.21512174542019766,101,0.808,55,50
0.0003992515652357808,8,0.064,53,50
0.07661397387947037,8,0.064,11,50
0.07595905704458678,13,0.104,55,50
0.10744835899093565,25,0.2,39,50
3.3665169851815335e-07,3,0.024,31,50
0.09567962367987395,14,0.112,33,50
0.09122247388327812,16,0.128,54,50
0.09614373707681975,4,0.032,57,50
0.08369876942480335,36,0.288,35,50
0.08477098575017863,59,0.472,39,50
0.08324534110204881,30,0.24,17,50
0.09546662527074105,29,0.232,10,50
0.05880281879929945,45,0.36,15,50
0.10247534612762155,38,0.304,33,50
0.09110785500337658,44,0.352,34,50
0.09282960208024602,48,0.384,30,50
0.07569174365370308,61,0.488,7,50
0.11584967140918609,126,1.008,45,50
0.11086355692920902,179,1.432,52,50
0.13461631869651963,130,1.04,62,50
0.00011419222677994121,4,0.032,11,50
4.137900162959341e-06,3,0.024,45,50
0.0760641586110608,18,0.144,55,50
0.07414554674216181,20,0.16,27,50
0.042686006633270886,9,0.072,31,50
0.03458553615157065,9,0.072,11,50
0.06486029192327886,11,0.088,27,50
0.09267354421325198,58,0.464,33,50
0.042952605437084526,39,0.312,19,50
0.035269764045267264,35,0.28,56,50
0.06929747969383517,13,0.104,4,50
0.09372900445063774,96,0.768,37,50
0.07486688008179268,112,0.896,33,50
0.0722723603805887,60,0.48,37,50
0.0800304513157148,91,0.728,32,50
0.11134278707611815,206,1.648,48,50
0.1274155736751205,231,1.848,61,50
0.11697644425473308,367,2.936,10,50
0.12235320302225453,305,2.44,20,50
0.0003385102586378929,8,0.064,21,50
0.00026066949471253244,4,0.032,46,50
0.029044104885325408,6,0.048,41,50
0.0916124632629892,20,0.16,7,50
0.06680678183411683,19,0.152,19,50
0.03711433252741056,11,0.088,31,50
0.0005222578880806387,10,0.08,39,50
0.09383076478666025,21,0.168,52,50
0.032141112435208334,23,0.184,17,50
0.08548396013537705,39,0.312,22,50
0.031068527202346204,33,0.264,3,50
0.07359030723587005,42,0.336,39,50
0.04156586229309963,50,0.4,31,50
0.07752959060983412,97,0.776,59,50
0.07344016830412106,128,1.024,63,50
0.0742280360677767,132,1.056,59,50
0.11683596289421484,106,0.848,33,50
0.10522227806336364,295,2.36,55,50
0.13997650185728808,368,2.944,16,50
0.1444868330643269,330,2.64,21,50
2.4016273473629707e-07,3,0.024,14,50
0.00031835817434980996,6,0.048,8,50
0.024066302508812462,9,0.072,42,50
0.07385061068826598,8,0.064,20,50
0.10013675113292726,21,0.168,63,50
0.06032823300553321,12,0.096,51,50
0.057594757819697875,15,0.12,41,50
0.00010099445675595033,6,0.048,50,50
0.0896584045647738,10,0.08,35,50
0.06345125755195824,23,0.184,42,50
0.07628544807266692,21,0.168,48,50
0.05624457787419711,52,0.416,29,50
0.05189826046812995,46,0.368,7,50
0.06581580303675108,72,0.576,29,50
0.053315921575745176,74,0.592,29,50
0.06910804271726893,123,0.984,63,50
0.05286347566719106,107,0.856,63,50
0.07417515922639772,122,0.976,34,50
0.12359292995891037,314,2.512,56,50
0.11526652840739003,170,1.36,5,50
0.07136371025123248,86,0.688,5,50
0.14923180350277426,60,0.48,14,50
1.670850033145636e-07,3,0.024,59,50
6.147111276914683e-05,5,0.04,15,50
0.069543513261251,8,0.064,55,50
0.038514687882315664,8,0.064,52,50
0.03431986421605033,6,0.048,37,50
0.07192703250199438,17,0.136,40,50
0.03177859065835213,16,0.128,3,50
0.04899255601024345,15,0.12,22,50
0.047118294053998144,17,0.136,45,50
0.07069903599502703,36,0.288,2,50
0.04359351749075561,39,0.312,30,50
0.11320702369579122,41,0.328,23,50
0.07491233609767954,69,0.552,61,50
0.04924311787491691,62,0.496,48,50
0.12541750239774496,129,1.032,47,50
0.0738433742836615,153,1.224,61,50
0.09213008964662175,213,1.704,63,50
0.12411608281288256,307,2.456,61,50
0.10653277851955659,208,1.664,31,50
0.11393352410386336,220,1.76,35,50
0.11779446275643385,138,1.104,61,50
0.00020090982318333257,9,0.072,49,50
0.0001785625623717372,8,0.064,59,50
0.05570237700519838,11,0.088,3,50
0.030290857389280505,6,0.048,47,50
0.06168557205655131,22,0.176,6,50
0.06422061885771067,8,0.064,51,50
0.056224907521672654,13,0.104,24,50
0.08842474300013183,11,0.088,3,50
0.08471693111759848,6,0.048,23,50
0.11672548630314297,72,0.576,32,50
0.07921954917266695,48,0.384,22,50
0.08127368701064382,97,0.776,23,50
0.05704445833315149,111,0.888,50,50
0.07519620493093629,155,1.24,47,50
0.11052332871727452,85,0.68,63,50
0.14748394326143008,481,3.848,27,50
0.15425895993353872,162,1.296,4,50
0.11837820651804194,295,2.36,63,50
0.10406706550448523,307,2.456,14,50
0.123761984710698,253,2.024,27,50
4.195637828274813e-07,3,0.024,58,50
0.08645417555456705,15,0.12,51,50
0.07891071983132968,12,0.096,49,50
0.10083625290775079,19,0.152,58,50
0.14713794979701617,26,0.208,9,50
0.12397637134622055,44,0.352,1,50
0.06336547438813685,30,0.24,3,50
0.07623270708276786,42,0.336,56,50
0.07872795778495432,29,0.232,7,50
0.10637788601898414,143,1.144,45,50
0.050199259003311215,99,0.792,21,50
0.06837878039154464,81,0.648,31,50
0.1370364862865134,360,2.88,16,50
0.15346503765347683,292,2.336,7,50
0.18124130802664962,273,2.184,59,50
0.11898262164177603,313,2.504,1,50
0.06906981372663203,440,3.52,53,50
0.13382179302118707,285,2.28,7,50
0.012526828153856376,5,0.04,36,50
0.10647481921398604,23,0.184,5,50
0.09625802663628502,14,0.112,23,50
0.11380798605224951,25,0.2,15,50
0.060646401300228046,11,0.088,27,50
0.13606645982741578,49,0.392,13,50
0.12299595583926141,20,0.16,26,50
0.11141706461673714,12,0.096,32,50
0.11710283823436476,69,0.552,8,50
0.13860890139623833,212,1.696,61,50
0.05672126445668072,83,0.664,0,50
0.07732955953653652,77,0.616,27,50
0.13507987213730635,233,1.864,63,50
0.14168316219255736,487,3.896,23,50
0.10626312316819742,350,2.8,8,50
0.12883399924257033,295,2.36,27,50
0.11451657809797679,452,3.616,37,50
0.13887780280404924,415,3.32,0,50
0.09253299104444969,10,0.08,24,50
8.477354828471305e-05,6,0.048,51,50
0.023872741832745636,4,0.032,0,50
0.08231873643115276,5,0.04,0,50
0.11516782853344233,30,0.24,61,50
0.054409464264644776,7,0.056,6,50
0.09762878374065218,15,0.12,57,50
0.04397903023841539,5,0.04,63,50
0.1479023439866493,89,0.712,10,50
0.06243611640463414,23,0.184,32,50
0.12646221520855902,77,0.616,25,50
0.14960624970046787,200,1.6,46,50
0.13912573971994704,183,1.464,55,50
0.10769036347034172,48,0.384,11,50
0.1273335034865018,730,5.84,30,50
0.1320564022042833,504,4.032,51,50
0.13513140028239706,241,1.928,63,50
0.14289777381907104,369,2.952,31,50
0.1452373110641783,413,3.304,62,50
0.08141969235271135,9,0.072,15,50
0.05837251615568815,14,0.112,58,50
0.07301935456678273,5,0.04,63,50
0.08230939149915198,11,0.088,22,50
0.11811742240488449,18,0.144,63,50
0.10434370436303542,27,0.216,63,50
0.06712980735325151,19,0.152,57,50
0.09660899567019528,21,0.168,48,50
0.10538830267886767,24,0.192,12,50
0.1281884546379946,77,0.616,58,50
0.15048294053617503,29,0.232,11,50
0.11988531524475217,85,0.68,60,50
0.11695210637936254,31,0.248,54,50
0.13793329012466427,136,1.088,60,50
0.13319158211292054,127,1.016,58,50
0.1519267552188637,539,4.312,61,50
0.11030032451175747,925,7.4,62,50
0.0771711014176557,517,4.136,4,50
0.1302724660324833,264,2.112,27,50
0.14709156225299874,620,4.96,30,50
0.03752228880995735,13,0.104,22,50
0.006665240453259576,4,0.032,55,50
0.08436849170310118,17,0.136,15,50
0.04205830484961286,7,0.056,21,50
0.055176568957874345,8,0.064,48,50
0.0005878648910506389,4,0.032,0,50
0.13329520036323197,13,0.104,63,50
0.032429888750774113,5,0.04,19,50
0.0884357293543245,45,0.36,57,50
0.11474480667416988,45,0.36,53,50
0.14195716383742185,80,0.64,5,50
0.11267630928451658,121,0.968,55,50
0.10021885608763605,58,0.464,1,50
0.11405911617709064,116,0.928,48,50
0.1323253949814761,273,2.184,55,50
0.10014829849919425,611,4.888,62,50
0.08260578108600078,979,7.832,51,50
0.12145546301157913,810,6.48,63,50
0.14817742683218307,707,5.656,0,50
0.06657525376896824,11,0.088,55,50
1.5348117710090037e-06,3,0.024,2,50
0.07832724689501139,16,0.128,34,50
0.06662232061470984,8,0.064,21,50
0.0400162763730341,15,0.12,3,50
0.007327450911319249,6,0.048,2,50
0.037497826319985945,8,0.064,5,50
2.0099626425462702e-06,3,0.024,19,50
0.08318963518611609,30,0.24,31,50
0.0770298746357373,26,0.208,26,50
0.11503463277128662,43,0.344,62,50
0.1457890743471914,59,0.472,53,50
0.13137185824657602,109,0.872,38,50
0.10499793414958726,80,0.64,61,50
0.1387655306235098,197,1.576,43,50
0.13042426626620027,268,2.144,16,50
0.09670618664944093,387,3.096,11,50
0.07368931036916251,585,4.68,13,50
0.09281060726337695,578,4.624,63,50
0.17812345540512084,432,3.456,20,50
0.03761120793969212,11,0.088,19,50
0.05601691990836702,12,0.096,23,50
0.00011414489087393327,4,0.032,1,50
0.06748428736524091,11,0.088,53,50
0.05878874998123978,6,0.048,28,50
0.06546616165588272,23,0.184,7,50
0.11645574590102141,25,0.2,55,50
0.018770454945291757,4,0.032,62,50
0.08686355509139923,20,0.16,46,50
0.08757877184161354,10,0.08,15,50
0.07929971932529467,29,0.232,63,50
0.11509324833940983,46,0.368,17,50
0.21082462719796422,34,0.272,15,50
0.1699281779478331,128,1.024,11,50
0.11784940029910068,49,0.392,30,50
0.1175393578442448,39,0.312,53,50
0.1359028250967365,111,0.888,63,50
0.10935486023685811,300,2.4,28,50
0.0813656514538085,412,3.296,47,50
0.09476487710751796,292,2.336,59,50
0.15496485655588543,191,1.528,30,50
8.787179486132348e-05,6,0.048,20,50
9.151315398251747e-05,7,0.056,50,50
0.013631377783647092,4,0.032,53,50
0.07541558546165031,9,0.072,26,50
0.05556548347913534,15,0.12,24,50
0.07831341675849601,28,0.224,34,50
0.1019078916766033,19,0.152,55,50
0.08873588085109248,32,0.256,45,50
0.04415748754646656,7,0.056,24,50
0.09040861706335143,18,0.144,0,50
0.09135876981316132,29,0.232,17,50
0.12447931322834499,60,0.48,27,50
0.17436478085856108,108,0.864,15,50
0.12379797471029484,93,0.744,33,50
0.073480175146831,104,0.832,45,50
0.09400402437322825,106,0.848,21,50
0.13224168561252794,340,2.72,21,50
0.10839161025577758,198,1.584,62,50
0.1525090159287647,72,0.576,59,50
1.4709854578853765e-07,3,0.024,0,50
4.4861214083965504e-05,5,0.04,44,50
9.084303498102918e-05,8,0.064,22,50
1.4674894239645088e-05,4,0.032,25,50
0.027945930758864056,7,0.056,57,50
0.0828649954429378,10,0.08,38,50
0.02051247249726484,8,0.064,18,50
0.1022192851637302,23,0.184,0,50
0.04803563374671371,18,0.144,11,50
1.8893053947977023e-06,3,0.024,26,50
