RMSE,Num_Points,Density,LBP,Class
2.9696263985659072e-05,5,0.04,9,50
1.5746850316741726e-05,4,0.032,17,50
1.214400416338357e-08,3,0.024,11,50
3.236093046310453e-09,3,0.024,45,50
0.023490735936639993,4,0.032,23,50
3.690519145050937e-05,7,0.056,59,50
0.3697496529323602,13,0.104,44,50
1.6409281590473078e-14,3,0.024,61,50
0.27313127177492136,7,0.056,11,50
0.03371001764582551,8,0.064,33,50
5.1806650439844114e-05,5,0.04,57,50
0.008077012753081382,5,0.04,48,50
2.0400754874887524e-05,4,0.032,22,50
0.022855140591811648,5,0.04,63,50
2.5443476952697365e-05,4,0.032,2,50
6.203425431843526e-05,6,0.048,18,50
0.026036365453521067,6,0.048,41,50
2.1319926618354435e-05,6,0.048,23,50
0.022119157393318135,6,0.048,28,50
4.984367431374056e-05,7,0.056,27,50
0.03546801853932477,12,0.096,11,50
7.936488738105157e-06,5,0.04,38,50
0.09792050974722682,9,0.072,54,50
1.6603334707099293e-07,3,0.024,4,50
0.09518863432997737,7,0.056,32,50
0.003006555991338677,5,0.04,23,50
0.02387223793129611,4,0.032,24,50
0.0011509935934717044,5,0.04,8,50
0.03845922698779041,9,0.072,45,50
0.05814898355960368,5,0.04,47,50
0.0311481987255687,8,0.064,63,50
0.009964113834997129,8,0.064,60,50
0.014061883199106267,6,0.048,61,50
8.027485579478891e-05,7,0.056,40,50
0.014481277990684866,7,0.056,32,50
3.366929799066459e-05,6,0.048,34,50
0.018964094899562984,8,0.064,47,50
2.3124324144419e-06,3,0.024,0,50
0.05809506826738095,8,0.064,53,50
6.376124549372482e-06,4,0.032,46,50
4.3877975134757707e-07,3,0.024,20,50
9.797184993731637e-05,4,0.032,57,50
0.0004862134412017522,4,0.032,26,50
0.05503345398891474,8,0.064,22,50
0.03356800047231554,5,0.04,30,50
0.00952593247701318,6,0.048,33,50
9.077207746404012e-05,7,0.056,61,50
0.010498639111831484,7,0.056,0,50
0.026773066426332152,11,0.088,55,50
6.22889042944289e-05,6,0.048,25,50
0.02254315411344963,6,0.048,24,50
8.577361808184484e-05,8,0.064,63,50
0.020937735931427517,9,0.072,31,50
6.561245058378519e-08,3,0.024,51,50
0.32611068362649914,11,0.088,0,50
0.26276924056878564,9,0.072,7,50
0.03766868473943707,7,0.056,7,50
3.929727012702824e-05,9,0.072,61,50
3.035762188636361e-05,7,0.056,62,50
1.8139346830148284e-08,3,0.024,34,50
6.041486891317227e-08,3,0.024,4,50
0.024251271089359424,4,0.032,56,50
0.025028092081204434,9,0.072,6,50
0.0247152899081318,9,0.072,40,50
0.019369214941145258,11,0.088,20,50
0.01719888204134642,9,0.072,61,50
9.015005044623331e-05,7,0.056,22,50
8.828072168608397e-05,7,0.056,12,50
0.022023889212765494,14,0.112,47,50
0.03215644923584057,11,0.088,63,50
